,quantity
2023-01-01 00:00:00+00:00,0
2023-01-01 01:00:00+00:00,0
2023-01-01 02:00:00+00:00,27
2023-01-01 03:00:00+00:00,97
2023-01-01 04:00:00+00:00,0
2023-01-01 05:00:00+00:00,0
2023-01-01 06:00:00+00:00,0
2023-01-01 07:00:00+00:00,0
2023-01-01 08:00:00+00:00,0
2023-01-01 09:00:00+00:00,233
2023-01-01 10:00:00+00:00,14
2023-01-01 11:00:00+00:00,143
2023-01-01 12:00:00+00:00,832
2023-01-01 13:00:00+00:00,854
2023-01-01 14:00:00+00:00,1024
2023-01-01 15:00:00+00:00,1287
2023-01-01 16:00:00+00:00,2056
2023-01-01 17:00:00+00:00,1506
2023-01-01 18:00:00+00:00,2407
2023-01-01 19:00:00+00:00,2646
2023-01-01 20:00:00+00:00,2236
2023-01-01 21:00:00+00:00,2177
2023-01-01 22:00:00+00:00,2562
2023-01-01 23:00:00+00:00,3330
2023-01-02 00:00:00+00:00,2914
2023-01-02 01:00:00+00:00,2098
2023-01-02 02:00:00+00:00,2270
2023-01-02 03:00:00+00:00,2400
2023-01-02 04:00:00+00:00,2965
2023-01-02 05:00:00+00:00,1999
2023-01-02 06:00:00+00:00,1757
2023-01-02 07:00:00+00:00,1597
2023-01-02 08:00:00+00:00,1072
2023-01-02 09:00:00+00:00,1133
2023-01-02 10:00:00+00:00,600
2023-01-02 11:00:00+00:00,577
2023-01-02 12:00:00+00:00,1366
2023-01-02 13:00:00+00:00,1316
2023-01-02 14:00:00+00:00,1259
2023-01-02 15:00:00+00:00,1779
2023-01-02 16:00:00+00:00,954
2023-01-02 17:00:00+00:00,0
2023-01-02 18:00:00+00:00,0
2023-01-02 19:00:00+00:00,0
2023-01-02 20:00:00+00:00,0
2023-01-02 21:00:00+00:00,0
2023-01-02 22:00:00+00:00,0
2023-01-02 23:00:00+00:00,0
2023-01-03 00:00:00+00:00,0
2023-01-03 01:00:00+00:00,0
2023-01-03 02:00:00+00:00,391
2023-01-03 03:00:00+00:00,1146
2023-01-03 04:00:00+00:00,1440
2023-01-03 05:00:00+00:00,1607
2023-01-03 06:00:00+00:00,1188
2023-01-03 07:00:00+00:00,1770
2023-01-03 08:00:00+00:00,1301
2023-01-03 09:00:00+00:00,1193
2023-01-03 10:00:00+00:00,878
2023-01-03 11:00:00+00:00,1023
2023-01-03 12:00:00+00:00,1435
2023-01-03 13:00:00+00:00,1252
2023-01-03 14:00:00+00:00,1571
2023-01-03 15:00:00+00:00,1888
2023-01-03 16:00:00+00:00,1619
2023-01-03 17:00:00+00:00,708
2023-01-03 18:00:00+00:00,191
2023-01-03 19:00:00+00:00,0
2023-01-03 20:00:00+00:00,507
2023-01-03 21:00:00+00:00,551
2023-01-03 22:00:00+00:00,937
2023-01-03 23:00:00+00:00,1155
2023-01-04 00:00:00+00:00,750
2023-01-04 01:00:00+00:00,629
2023-01-04 02:00:00+00:00,938
2023-01-04 03:00:00+00:00,947
2023-01-04 04:00:00+00:00,929
2023-01-04 05:00:00+00:00,529
2023-01-04 06:00:00+00:00,430
2023-01-04 07:00:00+00:00,127
2023-01-04 08:00:00+00:00,0
2023-01-04 09:00:00+00:00,211
2023-01-04 10:00:00+00:00,245
2023-01-04 11:00:00+00:00,27
2023-01-04 12:00:00+00:00,255
2023-01-04 13:00:00+00:00,225
2023-01-04 14:00:00+00:00,89
2023-01-04 15:00:00+00:00,24
2023-01-04 16:00:00+00:00,44
2023-01-04 17:00:00+00:00,0
2023-01-04 18:00:00+00:00,0
2023-01-04 19:00:00+00:00,0
2023-01-04 20:00:00+00:00,0
2023-01-04 21:00:00+00:00,0
2023-01-04 22:00:00+00:00,0
