country,in_domain,out_domain
NL,10YNL----------L,10YBE----------2
NL,10YNL----------L,10Y1001A1001A65H
NL,10YNL----------L,10Y1001A1001A83F
NL,10YNL----------L,10YNO-0--------C
NL,10YNL----------L,10Y1001A1001A92E
