,quantity
2023-01-01 00:00:00+00:00,0
2023-01-01 01:00:00+00:00,0
2023-01-01 02:00:00+00:00,0
2023-01-01 03:00:00+00:00,0
2023-01-01 04:00:00+00:00,0
2023-01-01 05:00:00+00:00,0
2023-01-01 06:00:00+00:00,0
2023-01-01 07:00:00+00:00,0
2023-01-01 08:00:00+00:00,0
2023-01-01 09:00:00+00:00,259
2023-01-01 10:00:00+00:00,446
2023-01-01 11:00:00+00:00,217
2023-01-01 12:00:00+00:00,16
2023-01-01 13:00:00+00:00,463
2023-01-01 14:00:00+00:00,694
2023-01-01 15:00:00+00:00,700
2023-01-01 16:00:00+00:00,700
2023-01-01 17:00:00+00:00,700
2023-01-01 18:00:00+00:00,700
2023-01-01 19:00:00+00:00,699
2023-01-01 20:00:00+00:00,677
2023-01-01 21:00:00+00:00,649
2023-01-01 22:00:00+00:00,632
2023-01-01 23:00:00+00:00,25
2023-01-02 00:00:00+00:00,409
2023-01-02 01:00:00+00:00,206
2023-01-02 02:00:00+00:00,3
2023-01-02 03:00:00+00:00,0
2023-01-02 04:00:00+00:00,0
2023-01-02 05:00:00+00:00,7
2023-01-02 06:00:00+00:00,555
2023-01-02 07:00:00+00:00,587
2023-01-02 08:00:00+00:00,692
2023-01-02 09:00:00+00:00,470
2023-01-02 10:00:00+00:00,676
2023-01-02 11:00:00+00:00,625
2023-01-02 12:00:00+00:00,418
2023-01-02 13:00:00+00:00,301
2023-01-02 14:00:00+00:00,361
2023-01-02 15:00:00+00:00,644
2023-01-02 16:00:00+00:00,698
2023-01-02 17:00:00+00:00,671
2023-01-02 18:00:00+00:00,648
2023-01-02 19:00:00+00:00,696
2023-01-02 20:00:00+00:00,626
2023-01-02 21:00:00+00:00,698
2023-01-02 22:00:00+00:00,699
2023-01-02 23:00:00+00:00,670
2023-01-03 00:00:00+00:00,591
2023-01-03 01:00:00+00:00,99
2023-01-03 02:00:00+00:00,13
2023-01-03 03:00:00+00:00,630
2023-01-03 04:00:00+00:00,417
2023-01-03 05:00:00+00:00,311
2023-01-03 06:00:00+00:00,392
2023-01-03 07:00:00+00:00,692
2023-01-03 08:00:00+00:00,680
2023-01-03 09:00:00+00:00,220
2023-01-03 10:00:00+00:00,148
2023-01-03 11:00:00+00:00,227
2023-01-03 12:00:00+00:00,76
2023-01-03 13:00:00+00:00,22
2023-01-03 14:00:00+00:00,0
2023-01-03 15:00:00+00:00,13
2023-01-03 16:00:00+00:00,607
2023-01-03 17:00:00+00:00,573
2023-01-03 18:00:00+00:00,129
2023-01-03 19:00:00+00:00,0
2023-01-03 20:00:00+00:00,0
2023-01-03 21:00:00+00:00,0
2023-01-03 22:00:00+00:00,0
2023-01-03 23:00:00+00:00,0
2023-01-04 00:00:00+00:00,0
2023-01-04 01:00:00+00:00,0
2023-01-04 02:00:00+00:00,0
2023-01-04 03:00:00+00:00,0
2023-01-04 04:00:00+00:00,0
2023-01-04 05:00:00+00:00,3
2023-01-04 06:00:00+00:00,379
2023-01-04 07:00:00+00:00,676
2023-01-04 08:00:00+00:00,699
2023-01-04 09:00:00+00:00,683
2023-01-04 10:00:00+00:00,378
2023-01-04 11:00:00+00:00,13
2023-01-04 12:00:00+00:00,169
2023-01-04 13:00:00+00:00,9
2023-01-04 14:00:00+00:00,297
2023-01-04 15:00:00+00:00,133
2023-01-04 16:00:00+00:00,206
2023-01-04 17:00:00+00:00,686
2023-01-04 18:00:00+00:00,663
2023-01-04 19:00:00+00:00,699
2023-01-04 20:00:00+00:00,700
2023-01-04 21:00:00+00:00,700
2023-01-04 22:00:00+00:00,700
2023-01-04 23:00:00+00:00,700
2023-01-05 00:00:00+00:00,700
